temperature,pressure,humidity,timestamp,avg_temp,avg_pressure,avg_humidity
33.78,951.11,36.54,2023-11-18 14:46:59.861019,,,
33.78,951.12,36.58,2023-11-18 14:47:01.858055,,,
33.77,951.11,36.58,2023-11-18 14:47:03.048049,,,
33.78,951.13,36.62,2023-11-18 14:47:04.859798,,,
33.77,951.13,36.62,2023-11-18 14:47:06.889066,,,
33.77,951.13,36.61,2023-11-18 14:47:08.865112,,,
33.77,951.13,36.67,2023-11-18 14:47:10.863346,,,
33.77,951.13,36.69,2023-11-18 14:47:12.854282,,,
33.78,951.14,36.67,2023-11-18 14:47:13.856458,,,
33.76,951.11,36.73,2023-11-18 14:47:15.859162,33.773,951.124,36.631
33.77,951.13,36.72,2023-11-18 14:47:17.859475,33.772000000000006,951.126,36.648999999999994
33.77,951.13,36.64,2023-11-18 14:47:19.857884,33.771,951.1270000000001,36.654999999999994
33.75,951.09,36.61,2023-11-18 14:47:21.862496,33.769000000000005,951.125,36.658
33.77,951.12,36.8,2023-11-18 14:47:23.048117,33.768,951.1240000000001,36.676
33.78,951.13,36.89,2023-11-18 14:47:24.858601,33.769000000000005,951.124,36.702999999999996
33.78,951.12,36.86,2023-11-18 14:47:26.858948,33.769999999999996,951.1229999999999,36.727999999999994
33.78,951.11,36.86,2023-11-18 14:47:28.860930,33.771,951.1209999999999,36.747
33.77,951.11,36.94,2023-11-18 14:47:30.873069,33.771,951.119,36.772000000000006
33.78,951.12,37.12,2023-11-18 14:47:32.847688,33.771,951.117,36.817
33.77,951.11,37.04,2023-11-18 14:47:33.856365,33.772000000000006,951.117,36.848
33.78,951.11,36.99,2023-11-18 14:47:35.859778,33.773,951.115,36.875
33.78,951.12,36.95,2023-11-18 14:47:37.859337,33.774,951.1139999999999,36.906
33.78,951.12,36.92,2023-11-18 14:47:39.858285,33.777,951.117,36.937
33.78,951.12,36.87,2023-11-18 14:47:41.853701,33.778000000000006,951.1169999999998,36.944
33.78,951.11,36.85,2023-11-18 14:47:43.069463,33.778,951.115,36.940000000000005
33.77,951.1,36.77,2023-11-18 14:47:44.855849,33.777,951.1129999999999,36.931
33.77,951.13,36.89,2023-11-18 14:47:46.857570,33.775999999999996,951.115,36.934
33.77,951.12,36.7,2023-11-18 14:47:48.867201,33.775999999999996,951.116,36.910000000000004
33.75,951.12,36.56,2023-11-18 14:47:50.857821,33.773,951.1160000000002,36.854
33.73,951.1,36.51,2023-11-18 14:47:52.865851,33.769,951.115,36.801
33.73,951.12,36.43,2023-11-18 14:47:54.642024,33.764,951.116,36.745000000000005
33.71,951.09,36.53,2023-11-18 14:47:55.858997,33.757,951.113,36.703
33.69,951.09,36.69,2023-11-18 14:47:57.857519,33.748000000000005,951.11,36.68
33.7,951.1,36.77,2023-11-18 14:47:59.858558,33.739999999999995,951.108,36.67
33.7,951.1,36.76,2023-11-18 14:48:01.857410,33.732000000000006,951.107,36.661
33.68,951.09,36.7,2023-11-18 14:48:03.044089,33.723,951.106,36.654
33.69,951.08,36.7,2023-11-18 14:48:04.856410,33.714999999999996,951.101,36.635000000000005
33.69,951.08,36.91,2023-11-18 14:48:06.856833,33.70700000000001,951.0970000000001,36.65599999999999
33.69,951.07,36.93,2023-11-18 14:48:08.858396,33.701,951.092,36.693
33.69,951.05,36.94,2023-11-18 14:48:10.857456,33.697,951.0870000000001,36.736
33.7,951.06,36.91,2023-11-18 14:48:12.846476,33.694,951.0809999999999,36.784
33.7,951.05,37.04,2023-11-18 14:48:13.855887,33.693,951.077,36.835
33.7,951.07,37.17,2023-11-18 14:48:15.859611,33.694,951.075,36.882999999999996
33.7,951.07,37.15,2023-11-18 14:48:17.870485,33.694,951.0719999999999,36.92100000000001
33.7,951.08,37.23,2023-11-18 14:48:19.856911,33.694,951.07,36.968
33.7,951.07,37.16,2023-11-18 14:48:21.858846,33.696,951.068,37.013999999999996
33.7,951.08,37.15,2023-11-18 14:48:23.048496,33.696999999999996,951.068,37.059
33.71,951.09,37.04,2023-11-18 14:48:24.861656,33.699,951.0689999999998,37.071999999999996
33.71,951.08,37.09,2023-11-18 14:48:26.856240,33.70100000000001,951.0699999999999,37.088
33.72,951.08,37.09,2023-11-18 14:48:28.856396,33.70400000000001,951.073,37.103
33.72,951.07,37.03,2023-11-18 14:48:30.857952,33.706,951.0740000000002,37.114999999999995
33.72,951.08,37.14,2023-11-18 14:48:32.847352,33.708000000000006,951.077,37.125
33.72,951.08,37.31,2023-11-18 14:48:33.856810,33.71,951.0780000000001,37.138999999999996
